원제목,저자명,원고지매수,작업일,비용
(AMO) SeibtEinSommermitGoethe_978-3-406-84360-0_1A_Druck,,739,2026/02/06,100000
(DHA) Hungered_9781250420756_INT_2P,,903,2026/01/28,100000
(듀란킴) Rebecca_Ray_You_Choose_2025_MS,,1086,2026/02/02,100000
(임프리마) Mindsight by  Daniel J. Siegel_9780553804706_all_4p_r5,,1727,2026/02/11,100000
(임프리마) 金を握りしめた者が勝つ (1),,576,2026/02/25,100000
"Zimmer E, How A Little Becomes A Lot, Final PDF",,1458,2026/02/23,100000
[JMCA] PAWLOWSKA_Ecarlate_BAT,,267,2026/02/21,100000
[시에나조] 세상은 당신이 필요하지 않다,,698,2026/02/12,100000
美食三品（内文）,,1793,2026/02/06,100000
대니홍_어차피 죽을 건데 왜 살아야 합니까(0224마감),,557,2026/02/01,100000
댄 코에_목적과 이익,,393,2026/01/26,100000
인공지능 제레미어틀리,,184,2026/01/23,100000
